ID,query
330,214 a. C.
331,328 a. C.
332,479 a. C.
333,Circuito integrado
334,Metro de Pionyang
335,278 a. C.
336,390 a. C.
337,Arcángel Gabriel
338,Clodoveo I
339,Movimiento de Países No Alineados
340,Crucigrama
341,Galilea
342,376 a. C.
343,Electronvoltio
344,Empirismo
345,475 a. C.
346,Gema
347,Selección de fútbol de Brasil
348,Alfredo el Grande
349,Dinastía Hohenzollern
350,Turcos
351,Maximiliano I de México
352,Manuscrito
353,Personaje
354,Copa Mundial de Fútbol de 1998
355,Fluorita
356,Resorte
357,Artículo (gramática)
358,Macedonia (región)
359,Partícula alfa
360,Partícula beta
361,Asbesto
362,Grupo hidroxilo
363,Riesgo
364,Independence Day
365,Evangelios sinópticos
366,Grupo del nitrógeno
367,Carbonoideos
368,Elementos transuránicos
369,Eosinófilo
370,Especulación (economía)
371,Speed (película)
372,Proposición
373,Estratosfera
374,Provincia de Hamgyŏng del Sur
375,Captura electrónica
376,Número bariónico
377,El flautista de Hamelín
378,IV milenio a. C.
379,Hidroavión
380,V milenio a. C.
381,Fulguración solar
382,Procyon lotor
383,Pío VII
384,Urbano I
385,Guillermo III de los Países Bajos
386,Bólido de Tunguska
387,Espacio vectorial
388,Lago de Van
389,Prefectura de Yamaguchi
390,Tinta
391,Planeta terrestre
392,Nómada
393,Tierras Australes y Antárticas Francesas
394,Tipo 89 I-Go
395,Eduardo III de Inglaterra
396,Juan I de Inglaterra
397,Filipo II de Macedonia
398,Dinastía Hohenstaufen
399,Janucá
400,Península de Yucatán
401,Anestesia
402,Serie de Taylor
403,Dniéster
404,Editor de texto
405,Tangente (geometría)
406,Prefectura de Gifu
407,Prefectura de Shiga
408,Salchicha
409,Generador eléctrico
410,Ariane
411,Refugiado
412,Acrópolis
413,Máximo común divisor
414,Copa Mundial de Fútbol de 1958
415,Asesinato
416,Buscando a Nemo
417,Bandera de Croacia
418,Dinastía carolingia
419,Carlos IX de Francia
420,Flavio Josefo
421,Lago Baljash
422,Bandera de Bután
423,Plataforma continental
424,Premio Albert Lasker por Investigación Médica Clínica
425,Alevís
426,Dominio japonés de Taiwán
427,Icono (informática)
428,Oliver (película)
429,Esmalte dental
430,Histeria
431,Llanura del Norte de China
432,Mantequilla de cacahuete
433,Tiza
434,Henoteísmo
435,Carlos VI del Sacro Imperio Romano Germánico
436,Anton van Dyck
437,Frankenstein o el moderno Prometeo
438,Federico III de Habsburgo
439,Paz de Westfalia
440,Francisco I del Sacro Imperio Romano Germánico
441,Rusia Unida
442,Enrique V del Sacro Imperio Romano Germánico
443,Alejandra Fiódorovna Románova
444,Islas Marianas
445,Concilio de Constanza
446,Telegrama Zimmermann
447,Anunciación
448,Francis Bacon (pintor)
449,Cristián II de Dinamarca
450,Archipiélago Bismarck
451,Confederación del Rin
452,Guerra de Laponia
453,Robert Brown
454,Mentha × piperita
455,Matusalén
456,Yuri Luzhkov
457,Luis II de Hungría
458,Temis (mitología)
459,Mar de Filipinas
460,Central de generación eléctrica
461,Compañía Neerlandesa de las Indias Orientales
462,Gemelo (biología)
463,Pío III
464,Paja
465,Caída de Constantinopla
466,Provincia del Estado Libre
467,Cristalografía
468,Ardea purpurea
469,Océano (mitología)
470,Butadieno
471,Andrómeda (mitología)
472,Esteban (mártir)
473,Curva
474,Derecho romano
475,Visión
476,Pegaso
477,Sármatas
478,Plátano de sombra
479,Drusos
480,Aleksandr Borodín
481,Tres Reinos de Corea
482,Lenguaje ensamblador
483,Polvo
484,Bandera de Chad
485,My belarusy
486,Pecados capitales
487,Cóctel mólotov
488,Marca (registro)
489,Renacuajo
490,Muñeca
491,Neumático
492,Decán
493,Juan II de Francia
494,Convenio de Ramsar
495,Cociente intelectual
496,Benedicto XII
497,Clemente VIII
498,Melodía
499,Acorde
500,Orígenes
501,Principado de Moscú
502,Matemático
503,Interés
504,Reino de Hungría
505,Efecto Compton
506,Néctar (botánica)
507,Escondite
508,Lev (moneda)
509,Acero inoxidable
510,Áyax el Grande
511,Nicho ecológico
512,Constante física
513,Patrón oro
514,Bandera de Mauricio
515,Pintura (material)
516,Mahmut II
517,Autoridad
518,Hecatónquiros
519,Siglo XIII a. C.
520,Segundo principio de la termodinámica
521,Flujo magnético
522,Radio (hueso)
523,Primera guerra sino-japonesa
524,Comercio internacional
525,Enrique I de Francia
526,Amplificador operacional
527,Mustela putorius furo
528,Impedancia
529,Literatura rusa
530,Fenomenología (filosofía)
531,Narciso (mitología)
532,Dinastía de los Capetos
533,Temístocles
534,Falco vespertinus
535,Naftalina
536,Día de π
537,Trece Colonias
538,Reino de las Dos Sicilias
539,Explotación pesquera
540,Ónix
541,Criptozoología
542,Doctrina Monroe
543,Perrito caliente
544,Provincia de Panjshīr
545,Instrumento de viento-madera
546,Civilización micénica
547,Laboratorios Cavendish
548,Ecuación química
549,Principio de Pareto
550,Saduceos
551,Mehmet Alí
552,Pronóstico del tiempo
553,Hieraaetus pennatus
554,Provincia de Jawzjān
555,Caballo árabe
556,Radiotelescopio
557,Burhinus oedicnemus
558,Llanura panónica
559,Curlandia
560,Control remoto
561,Electroforesis
562,Podiceps nigricollis
563,Lácteo
564,Proteles cristata
565,Conjunto numerable
566,Coste de oportunidad
567,Guerra contra el terrorismo
568,Elemento neutro
569,La princesa Mononoke
570,Pula (moneda)
571,Artritis reumatoide
572,Batería recargable
573,Condado de Győr-Moson-Sopron
574,Moda (estadística)
575,Sucesión ecológica
576,Gran hambruna irlandesa
577,Paramagnetismo
578,Marketing multinivel
579,Real Jardín Botánico de Kew
580,Antinflamatorio no esteroideo
581,Democracia representativa
582,División celular
583,Provincia de Kabul
584,Fosgeno
585,Oficial (fuerzas armadas)
586,Grupo del boro
587,Iván Goncharov
588,Afta
589,Letra de cambio
590,Conversión analógica-digital
591,Tierras raras
592,Desigualdad de Cauchy-Bunyakovsky-Schwarz
593,Ponto (mitología)
594,Emblema nacional de Bangladés
595,Seven
596,Bufanda
597,Juego del 15
598,Gregorio de Nisa
599,El conde de Montecristo
600,Ectopistes migratorius
601,Đồng vietnamita
602,Lenguaje formal
603,Base de datos relacional
604,Red neuronal artificial
605,Estrecho de la Sonda
606,Visarión Belinski
607,Regeneración (biología)
608,Círculos en los cultivos
609,Turbina de gas
610,Historia de Polonia
611,Antioquía del Orontes
612,Calendario romano
613,Orión (mitología)
614,Criptografía asimétrica
615,Zona económica exclusiva
616,Dieta de Japón
617,Primera guerra judeo-romana
618,Checa
619,Operador laplaciano
620,Eretmochelys imbricata
621,Dorios
622,Antena (artrópodos)
623,Cloruro de cinc
624,Lira italiana
625,Kurdistán iraquí
626,Música del mundo
627,Cámara de gas
628,Tensión mecánica
629,Aromaterapia
630,ADN polimerasa
631,Universidad de Zúrich
632,Imperio de Ghana
633,Esclerosis lateral amiotrófica
634,Cortocircuito
635,Personificación
636,Tabla hash
637,Lámpara fluorescente compacta
638,Sitio de Viena
639,Industria química
640,Ácido oleico
641,Yevgueni Káfelnikov
642,Ley de los grandes números
643,Gastronomía de México
644,Xileno
645,Reino de Grecia
646,Sensor de imagen
647,Mary Poppins (película)
648,Anser brachyrhynchus
649,Milcíades el Joven
650,Sinfonía n.º 2 (Beethoven)
651,Fútbol playa
652,Asedio de Port Arthur
653,Lógica modal
654,Gameto
655,Las muy ricas horas del Duque de Berry
656,Lenguaje de alto nivel
657,Siglo XXX a. C.
658,Libro de Baruc
659,Base (baloncesto)
660,Golfo de Tonkín
661,Achatamiento
662,Spaghetti western
663,Electrodoméstico
664,21 gramos
665,Esquema de pirámide
666,Curva de Bézier
667,Autoestop
668,Programa Gemini
669,Gran incendio de Roma
670,Aeróbic
671,Gobernación del Monte Líbano
672,Neotrópico
673,Años oscuros
674,Vesícula seminal
675,Misa (música)
676,Eudyptes chrysolophus
677,Queso cheddar
678,Eritropoyetina
679,Declaración de Derechos de 1689
680,Escuelas budistas
681,Testudines
682,Guerra del Fútbol
683,Estudio en escarlata
684,Copo de nieve de Koch
685,351 a. C.
686,Inocencio VII
687,371 a. C.
688,391 a. C.
689,Harlem (desambiguación)
690,Bahía de San Francisco
691,418 a. C.
692,Buteo rufinus
693,Adulterio
694,443 a. C.
695,Fruta seca
696,Caja registradora
697,Departamento de Chuquisaca
698,Arquitectura del Renacimiento
699,495 a. C.
700,5-fluorouracilo
701,Provincia de Lampang
702,Cálculo lambda
703,Willebrord Snel van Royen
704,Provincia de Chumphon
705,Arquitectura moderna
706,Copa Mundial de Fútbol Sub-17
707,Antes que anochezca
708,Salamish
709,Milla
710,Judeocristianos
711,Croma
712,Pitta iris
713,Vega (cohete)
714,Príncipe Shōtoku
715,Escándalo en Bohemia
716,Sinfonía n.º 8 (Beethoven)
717,Andrés II de Hungría
718,Inflación cósmica
719,Irán-Contra
720,Hrolf Ganger
721,Palacio de Dolmabahçe
722,Infalibilidad papal
723,Estilo espalda
724,Provincia de Chaiyaphum
725,Heterocephalus glaber
726,Decimal codificado en binario
727,La menor
728,Estrógeno
729,Test de primalidad AKS
730,Luis García Sanz
731,Yákov Sverdlov
732,Agregado militar
733,Músculo orbicular de la boca
734,Grutas de Yungang
735,Do menor
736,Césped artificial
737,Amadeo VIII de Saboya
738,Iván Asen II
739,Claude-Louis Henri Navier
740,Relación entre ciencia y religión
741,John Alexander Reina Newlands
742,Farmacognosia
743,República de Taiwán (1895)
744,Ceryle rudis
745,Aix sponsa
746,Mecánica lagrangiana
747,Las aventuras de Tom Sawyer
748,Provincia de Nong Khai
749,División de Daca
750,Recibo
751,Música absoluta
752,Dinastía macedónica
753,Sentido común
754,Ley de la inversa del cuadrado
755,Declaración de guerra
756,Tecnología de baja detectabilidad
757,Marcapasos
758,Radio Internacional de China
759,Casuarius casuarius
760,Flavín mononucleótido
761,Reconocimiento de patrones
762,Organización del Tratado Central
763,Carbonato de potasio
764,Provincia de Sakon Nakhon
765,Desarrollo web
766,Efecto Aharonov-Bohm
767,Hemocianina
768,Óxido de nitrógeno (III)
769,Borohidruro de sodio
770,Dimetilsulfóxido
771,Creatina quinasa
772,Cloropreno
773,Peróxido de litio
774,Carburo de silicio
775,Ácido linolénico
776,Chisporroteo
777,Ácido mirístico
778,Ácido propanoico
779,Actuador
780,Control (tecla)
781,Energía de Fermi
782,Descomposición en fracciones simples
783,Ichijō Tennō
784,Síndrome de descompresión
785,Toshio Masuda (compositor)
786,Capitán Planeta y los planetarios
787,Especialista de cine
788,Novela epistolar
789,Plasticidad (mecánica de sólidos)
790,Programa Memoria del Mundo
791,Purismo vanguardista
792,Clase Essex
793,París Saint-Germain Football Club
794,Unidad de masa atómica
795,Artista
796,Budas de Bāmiyān
797,Turcomanos
798,Volumen molar
799,Universidad de Fudan
800,Región turística de Kŭmgangsan
801,Mizrají
802,Batalla del Mar de Filipinas
803,Isla de Gough
804,Oscilación de neutrinos
805,República Partenopea
806,Claqueta
807,Junco hyemalis
808,Nudo (lazo)
809,Trastorno de ansiedad
810,Médula ósea
811,Accesibilidad
812,Partido Libertario (Estados Unidos)
813,Plataforma (aviación)
814,Antiamericanismo
815,Kafka en la orilla
816,Reino de Patani
817,Eduardo VIII del Reino Unido
818,Retículo (matemáticas)
819,Katoli
820,Modelo de capas nuclear
821,Conidio
822,Lenguas judías
823,Tabla de cortar
824,Conversión de unidades
825,Glicina
826,Agrandamiento del pene
827,Monte Lu
828,Provincia de Nampula
829,Provincia de Sofala
830,Provincia de Zambezia
831,Análisis de grupos
832,Problema de las ocho reinas
833,NP (clase de complejidad)
834,Líquido preseminal
835,Teen Titans (serie de animación)
836,Síndrome de Münchhausen
837,Fanariotas
838,Centro galáctico
839,Creencia en la Tierra hueca
840,Benincasa hispida
841,Museo Nacional de Tokio
842,Estadio Azadi
843,Federación de Rodesia y Nyasalandia
844,Trauma psíquico
845,Gastronomía de Turquía
846,Los viajes de Marco Polo
847,Sustitución nucleófila
848,Clase Los Ángeles
849,Quinetoscopio
850,Cromatografía de gases
851,Idealismo alemán
852,Iglesia episcopal en los Estados Unidos
853,Formato de archivo de audio
854,Hemorragia subaracnoidea
855,Merry Christmas Mr. Lawrence
856,Elecciones presidenciales de Estados Unidos de 1992
857,Kazoku Robinson hyōryūki fushigina shima no furōne
858,Director artístico
859,Clase Bismarck
860,Artículo 9 de la Constitución de Japón
861,Almidón de papa
862,Coturnix japonica
863,La bemol mayor
864,Geta (calzado)
865,Liofilización
866,Marinado
867,Tuluníes
868,Naimano
869,Sociedad de negocios
870,Activo circulante
871,Aeropuerto Internacional Tullamarine
872,Parque Jingshan
873,Secretario de Defensa de los Estados Unidos
874,Forma cuadrática
875,Parque nacional de Shiretoko
876,Isometría
877,Ecuación de Clausius-Clapeyron
878,Tercer riel (alimentación)
879,Factor de potencia
880,Regla de las fases de Gibbs
881,Espacio dual
882,Redlands (California)
883,Trabajo escolar
884,Glaciación Würm (Edad de Hielo)
885,Región indomalaya
886,Memoria compartida
887,Prefectura autónoma tibetana de Dêqên
888,Convención de Basilea
889,Jasón y los argonautas
890,Bagatela
891,Si bemol mayor
892,B (lenguaje de programación)
893,Ciudad-mezquita de Bagerhat
894,Islas Balleny
895,Sondeo a boca de urna
896,Neoconfucianismo
897,Carne de perro
898,Golpe de ariete
899,Nación más favorecida
900,Guerra de Jugurta
901,Mimus polyglottos
902,Factor de calidad
903,Unidad internacional
904,Jubileo
905,Estatuto de Roma
906,Efecto halo
907,Magnetostricción
908,Partido Nacional Democrático (Egipto)
909,Dispersión de Rutherford
910,Cristiandad occidental
911,La pantera rosa (película de 2006)
912,Cuadrivector
913,Región del Litoral (Camerún)
914,Prometeo encadenado
915,Guerras Indias
916,Campeonato Mundial de Motociclismo
917,Matriz permutación
918,Región de Dakar
919,Carta de Derechos de los Estados Unidos
920,El valle del terror
921,Tratado desigual
922,Mod (videojuegos)
923,Presidente de Botsuana
924,Primer ministro de Singapur
925,Peinado ondulado
926,Reino de Laos
927,Plastimación
928,Pantufla
929,Examen de sangre
930,Isoelectroenfoque
931,Grupo puntual
932,Fijación de carbono
933,John Kerr (físico)
934,Páginas amarillas
935,Fantasía (película)
936,Principio de relatividad
937,Pato rengo (política)
938,Isla Rota
939,Valle de Katmandú
940,Caja negra (transporte)
941,Blindaje reactivo
942,Aeropuerto de Sendai
943,Do bemol mayor
944,Batalla de Guandu
945,Religiosidad popular
946,Mitología celta
947,Batalla de Alcazarquivir
948,Puertas de ala de gaviota
949,Junta de estanqueidad
950,Punto cuántico
951,Picado de bielas
952,Onda cuadrada
953,Teoría de la selección r/K
954,Sistema de lanzamiento vertical
955,Nefropatía por IgA
956,Teorema del número poligonal de Fermat
957,Motor lineal
958,Universidad de Nagoya
959,Ra (mitología)
960,Cristianismo celta
961,Crianza de los hijos
962,Análisis financiero
963,Puntero láser
964,Caja de música
965,Protobionte
966,Agencia de Seguridad Nuclear e Industrial
967,Caja TATA
968,Quiscalus quiscula
969,Lino textil
970,Compañía Aeronáutica Nakajima
971,Grupo de galaxias
972,Videojuego de rol táctico
973,Sistema de producción Toyota
974,Arma de fuego corta
975,Míriam (hermana de Moisés y Aarón)
976,Jackson (California)
977,Imperio parto
978,Tipo 61
979,Barco de pasajeros
980,Globalismo
981,Gestión de memoria
982,Vaguada (meteorología)
983,Rol de género
984,Leche condensada
985,Diagrama de Hertzsprung-Russell
986,Psicoactivo
987,Mentira
988,Alojamiento web
989,Úlcera
990,Producto sanitario
991,Caucasoide
992,Servicio (economía)
993,Enfermedad autoinmune
994,Mito
995,Despacho de farmacia
996,Hipótesis nebular
997,Mascota (símbolo)
998,Desigualdad matemática
999,Calidris pugnax
1000,Antártida
1001,Caballo (ajedrez)
1002,Estado de São Paulo
1003,Macedonia del Norte
1004,Georgia
1005,Pornografía
1006,Historia
1007,Cielo
1008,Sistema solar
1009,Altavoz
1010,Timor Oriental
1011,Oxígeno
1012,Música
1013,Islas Salomón
1014,Cuento de hadas
1015,Gengis Kan
1016,Santa Lucía
1017,Andréi Tarkovski
1018,Bromo
1019,Ufá
1020,República Centroafricana
1021,Polo norte
1022,República de Tuvá
1023,Fiódor Dostoyevski
1024,Ástato
1025,Marruecos
1026,Provincia de Flandes Oriental
1027,Otoño
1028,Nueva York (estado)
1029,Tabaco
1030,Ereván
1031,Séneca
1032,Distrito autónomo de Nenetsia
1033,Óblast de Nizhni Nóvgorod
1034,Benceno
1035,Aprendizaje automático
1036,Guillermo II de Alemania
1037,Hermanos Grimm
1038,Submarino
1039,Catedral
1040,Catedral de Notre Dame (París)
1041,Rojo
1042,Río Níger
1043,Foco (geometría)
1044,Grupo Local
1045,Villa (población)
1046,39 a. C.
1047,15 a. C.
1048,Autobiografía
1049,Unidad de disco óptico
1050,Islas Feroe
1051,Grus grus
1052,Arroz
1053,Rafael Sanzio
1054,Idioma tamil
1055,República de Sajá
1056,Mayo de 1968 en Francia
1057,Siglo XVII
1058,Siglo XV
1059,Siglo XII
1060,Hedonismo
1061,Aleksandr Pushkin
1062,Toxicología
1063,Feminismo
1064,Ideología
1065,Kilimanjaro
1066,Pueblo judío
1067,Luis XVIII de Francia
1068,Ducha
1069,Fonema
1070,Alfabeto árabe
1071,Alfabeto griego
1072,Literatura
1073,Sueño en el pabellón rojo
1074,Ilíada
1075,Clip
1076,Ciro II el Grande
1077,Timur Kan
1078,Revolución rusa
1079,Euskera
1080,Virgo (constelación)
1081,Valence (Francia)
1082,Escorpio (constelación)
1083,Idioma esloveno
1084,Correo electrónico
1085,Estatua de la Libertad
1086,Crater (constelación)
1087,Idioma galés
1088,Sistema nervioso
1089,Epistemología
1090,Confucianismo
1091,Útero
1092,Aeropuerto de Berlín-Tegel
1093,Música clásica
1094,Congreso Nacional Indio
1095,Gerontología
1096,Lepus (constelación)
1097,Hércules (constelación)
1098,Uva
1099,Ingeniería
1100,Tratado de la Unión Europea
1101,Calendario juliano
1102,El Pentágono
1103,Coche bomba
1104,Sal común
1105,Aeronave
1106,Radiactividad
1107,Vidrio
1108,Teorema de Pitágoras
1109,Demostración en matemática
1110,Raúl González Blanco
1111,Componente electrónico
1112,Edad del Bronce
1113,Edad del Hierro
1114,Beck (músico)
1115,Pinus
1116,Odontología
1117,Arco (arquitectura)
1118,Pirineos
1119,Teoría de números
1120,Gastronomía de Rusia
1121,Guerra hispano-estadounidense
1122,Mira (estrella)
1123,Latina (Italia)
1124,Ragusa (Sicilia)
1125,Contenido libre
1126,Fecha juliana
1127,Dominio de nivel superior
1128,Catálogo Messier
1129,Provincia de Cuneo
1130,Provincia de Biella
1131,Desdémona (satélite)
1132,Belinda (satélite)
1133,Provincia de Novara
1134,Provincia de Potenza
1135,Escápula
1136,Bandera de Rusia
1137,Calificación escolar
1138,Ácido acetilsalicílico
1139,Bordado
1140,Modelo estándar de la física de partículas
1141,Metáfora
1142,Charadrius alexandrinus
1143,Aeropuerto de Roma-Fiumicino
1144,Tinamidae
1145,Lenguas romances
1146,Uria aalge
1147,Pueblos germánicos
1148,Psicología humanista
1149,Psicología cognitiva
1150,Allium sativum
1151,Termo
1152,Palestina (región)
1153,Número atómico
1154,Juan XXIII
1155,Ártico
1156,Anas platyrhynchos
1157,Resistencia eléctrica
1158,Obra de teatro
1159,Corvus frugilegus
1160,Siglo X a. C.
1161,Chroicocephalus ridibundus
1162,Aleksandr Glazunov
1163,Haematopus ostralegus
1164,Scolopax rusticola
1165,Charadrius hiaticula
1166,Islas Cook
1167,Larus hyperboreus
1168,Thalasseus sandvicensis
1169,Cultura maya
1170,Partido Republicano (Estados Unidos)
1171,Reino de los Países Bajos
1172,Programación orientada a aspectos
1173,Nuestra Señora de Guadalupe (México)
1174,Serguéi Shoigú
1175,Ceres (mitología)
1176,Universidad de Taiwán
1177,Explosión cámbrica
1178,Idioma filipino
1179,Idioma ingusetio
1180,Idioma calmuco
1181,Idioma livonio
1182,Lenguas tai-kadai
1183,Teología
1184,La ventana indiscreta
1185,Disco compacto
1186,Adjetivo
1187,Rayos X
1188,Colina Capitolina
1189,Islas Georgias del Sur y Sándwich del Sur
1190,Proverbio
1191,Mar de Mármara
1192,Premio Nobel de la Paz
1193,259 a. C.
1194,Libro Rojo de Mao
1195,Putsch de Múnich
1196,Península del Sinaí
1197,Regiones de Francia
1198,Abd al-Málik
1199,Cuadrilátero
1200,Chino clásico
1201,Recta
1202,Federico Guillermo III de Prusia
1203,Granizo
1204,Guerra del Golfo
1205,Mercado
1206,Premio Nobel de Literatura
1207,Sello postal
1208,4 a. C.
1209,8 a. C.
1210,Perro policía
1211,Gasolina
1212,Mitocondria
1213,Ali Ibn Abi Tálib
1214,Evangelio de Lucas
1215,Playa
1216,Palanca
1217,Nueva Guinea
1218,Abogado
1219,Lot (bíblico)
1220,Heráclito
1221,Organización territorial de Corea del Sur
